Alpha,Metoda intuicyjna,Ulepszona metoda intuicyjna,Metoda najmniejszych wariancji,Metoda Karnin'a
0.0,0.0,0.0,0.0,0.0
1.0,0.0156,3.2344,176.25,3.2188
2.0,0.0156,5.5781,177.1875,6.4844
3.0,0.0156,7.7812,175.5781,10.5156
4.0,0.0156,9.8281,175.6562,13.9531
5.0,0.0156,11.5469,175.875,17.6562
6.0,0.0156,14.5938,176.2656,21.7656
7.0,0.0156,17.6094,175.5156,25.9375
8.0,0.0312,19.3594,176.9531,29.7969
9.0,0.0312,21.6406,175.625,34.2656
10.0,0.0312,22.3125,175.6406,38.0312
11.0,0.0312,25.9062,175.7031,42.8281
12.0,0.0312,27.6719,176.5469,46.0469
13.0,0.0312,29.9844,176.1875,49.875
14.0,0.0312,31.5,176.3281,52.875
15.0,0.0312,34.6562,175.5469,56.9688
16.0,0.0312,37.9531,176.3125,60.3125
17.0,0.0312,38.0312,175.9062,64.0625
18.0,0.0469,39.9375,175.8906,65.125
19.0,0.0469,41.1094,176.5156,69.1094
20.0,0.0469,42.7188,176.1094,73.2969
21.0,0.0625,44.8594,176.0312,75.9531
22.0,0.0469,48.0938,175.8594,79.9375
23.0,0.0469,50.4375,176.6719,82.5312
24.0,0.0469,51.9688,176.2344,85.7969
25.0,0.0469,53.7969,175.7969,89.3594
26.0,0.0469,56.0469,176.5625,91.9375
27.0,0.0469,57.7344,176.1562,94.3281
28.0,0.0625,60.5312,176.0,98.8125
29.0,0.0625,61.4688,175.6406,102.3125
30.0,0.0625,62.6719,176.0781,104.7188
31.0,0.0625,64.7344,176.2812,108.375
32.0,0.0625,66.4062,176.2344,109.7188
33.0,0.0781,67.1875,176.2969,112.9531
34.0,0.1094,69.0938,175.5625,114.4062
35.0,0.0781,72.2031,176.5781,116.6406
36.0,0.0781,76.1719,181.3281,126.2031
37.0,0.0938,77.7656,176.5469,123.2188
38.0,0.0781,79.0,175.5781,126.7031
39.0,0.0781,81.5,176.4375,128.9531
40.0,0.0938,82.9219,176.5625,131.0312
41.0,0.0938,85.4219,175.7031,133.8438
42.0,0.0938,88.7812,176.2031,136.1562
43.0,0.0938,90.7969,176.3906,139.8594
44.0,0.125,92.5156,176.5,142.125
45.0,0.0781,94.0156,176.6719,145.4844
46.0,0.0938,96.5781,176.7344,147.0938
47.0,0.0938,98.2031,176.4531,150.5469
48.0,0.1094,99.7969,176.4844,150.6562
49.0,0.1094,101.5781,177.625,151.6562
50.0,0.1094,105.0,176.4688,154.0469
51.0,0.125,106.5781,176.5,156.2656
52.0,0.1094,108.3906,176.6094,156.0469
53.0,0.125,111.7188,177.2812,157.4219
54.0,0.125,114.3125,176.7031,158.6875
55.0,0.1094,115.9531,176.3594,158.5938
56.0,0.125,117.4688,176.5781,159.9062
57.0,0.125,119.8125,177.0469,161.2969
58.0,0.125,121.4688,176.7031,163.1562
59.0,0.125,123.3125,176.5938,164.4844
60.0,0.1094,123.7656,176.3281,165.25
61.0,0.125,125.1719,178.4688,165.5312
62.0,0.125,126.8594,176.3281,165.7812
63.0,0.125,129.4688,176.7188,167.0938
64.0,0.125,135.6094,181.5,172.4062
65.0,0.1562,133.2656,175.7812,167.3906
66.0,0.1406,134.3281,176.5156,167.6719
67.0,0.1406,136.9688,176.2031,168.9062
68.0,0.1719,138.2812,175.875,167.9531
69.0,0.1406,140.75,176.2969,168.75
70.0,0.1719,142.0156,175.8438,169.2188
71.0,0.1562,143.0,176.4375,169.0156
72.0,0.1406,146.6719,176.1562,169.125
73.0,0.1562,147.9375,175.7812,169.5625
74.0,0.1562,149.9375,176.1875,170.2031
75.0,0.1875,153.0938,176.3281,170.4688
76.0,0.1562,154.1719,176.9062,170.5938
77.0,0.1719,155.875,176.0156,171.5
78.0,0.1719,156.4688,176.2188,171.1875
79.0,0.1719,158.2188,176.3594,171.4219
80.0,0.1719,159.2812,176.375,171.5
81.0,0.1719,161.7188,176.0,171.9688
82.0,0.1875,163.1875,175.9375,172.0156
83.0,0.1875,164.7031,176.5469,173.0156
84.0,0.1875,166.3594,176.7812,172.0312
85.0,0.1875,167.5781,176.4531,172.7812
86.0,0.2031,169.75,175.8438,172.7188
87.0,0.1875,171.3906,176.2812,172.6094
88.0,0.1719,172.7656,176.4688,173.5156
89.0,0.1875,172.8281,176.8125,173.75
90.0,0.1875,174.125,176.0938,175.3125
91.0,0.1875,173.3125,175.8594,173.9844
92.0,0.2188,180.3906,181.625,180.2656
93.0,0.2188,176.0156,176.75,174.8125
94.0,0.2188,176.4375,176.5,174.3438
95.0,0.2188,176.4844,176.0,175.0625
96.0,0.2031,175.9531,176.2969,175.6719
97.0,0.2031,177.1406,177.6562,176.1562
98.0,0.2031,176.6719,176.0938,175.7656
99.0,0.1875,176.6406,176.6875,177.0156
100.0,0.1875,177.7188,176.625,177.4688
