\begin{tabular}{|c|c|c|c|c|}
\toprule
 Alpha &  Metoda intuicyjna &  Ulepszona metoda intuicyjna &  Metoda najmniejszych wariancji &  Metoda Karnin'a \\
\midrule
   0.0 &             0.0328 &                       0.0328 &                          0.0344 &           0.0328 \\
   1.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0344 \\
   2.0 &             0.0328 &                       0.0328 &                          0.0344 &           0.0328 \\
   3.0 &             0.0344 &                       0.0328 &                          0.0328 &           0.0328 \\
   4.0 &             0.0328 &                       0.0359 &                          0.0328 &           0.0328 \\
   5.0 &             0.0328 &                       0.0344 &                          0.0328 &           0.0344 \\
   6.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0344 \\
   7.0 &             0.0344 &                       0.0328 &                          0.0328 &           0.0344 \\
   8.0 &             0.0344 &                       0.0328 &                          0.0328 &           0.0328 \\
   9.0 &             0.0312 &                       0.0344 &                          0.0328 &           0.0328 \\
  10.0 &             0.0312 &                       0.0328 &                          0.0328 &           0.0328 \\
  11.0 &             0.0328 &                       0.0359 &                          0.0344 &           0.0344 \\
  12.0 &             0.0312 &                       0.0328 &                          0.0328 &           0.0375 \\
  13.0 &             0.0328 &                       0.0359 &                          0.0328 &           0.0328 \\
  14.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  15.0 &             0.0344 &                       0.0344 &                          0.0328 &           0.0328 \\
  16.0 &             0.0328 &                       0.0422 &                          0.0344 &           0.0328 \\
  17.0 &             0.0328 &                       0.0328 &                          0.0344 &           0.0328 \\
  18.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  19.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0344 \\
  20.0 &             0.0344 &                       0.0328 &                          0.0312 &           0.0344 \\
  21.0 &             0.0328 &                       0.0344 &                          0.0328 &           0.0328 \\
  22.0 &             0.0312 &                       0.0328 &                          0.0328 &           0.0312 \\
  23.0 &             0.0344 &                       0.0328 &                          0.0328 &           0.0328 \\
  24.0 &             0.0328 &                       0.0344 &                          0.0328 &           0.0328 \\
  25.0 &             0.0344 &                       0.0328 &                          0.0328 &           0.0328 \\
  26.0 &             0.0328 &                       0.0344 &                          0.0328 &           0.0312 \\
  27.0 &             0.0328 &                       0.0344 &                          0.0344 &           0.0328 \\
  28.0 &             0.0375 &                       0.0328 &                          0.0328 &           0.0328 \\
  29.0 &             0.0328 &                       0.0359 &                          0.0312 &           0.0328 \\
  30.0 &             0.0328 &                       0.0328 &                          0.0359 &           0.0328 \\
  31.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0344 \\
  32.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  33.0 &             0.0328 &                       0.0312 &                          0.0328 &           0.0344 \\
  34.0 &             0.0328 &                       0.0328 &                          0.0344 &           0.0328 \\
  35.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  36.0 &             0.0328 &                       0.0344 &                          0.0328 &           0.0359 \\
  37.0 &             0.0453 &                       0.0328 &                          0.0328 &           0.0328 \\
  38.0 &             0.0312 &                       0.0375 &                          0.0328 &           0.0359 \\
  39.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0344 \\
  40.0 &             0.0344 &                       0.0328 &                          0.0344 &           0.0328 \\
  41.0 &             0.0328 &                       0.0344 &                          0.0328 &           0.0328 \\
  42.0 &             0.0328 &                       0.0344 &                          0.0328 &           0.0328 \\
  43.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  44.0 &             0.0328 &                       0.0344 &                          0.0328 &           0.0328 \\
  45.0 &             0.0328 &                       0.0312 &                          0.0359 &           0.0359 \\
  46.0 &             0.0375 &                       0.0328 &                          0.0328 &           0.0328 \\
  47.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  48.0 &             0.0328 &                       0.0344 &                          0.0328 &           0.0328 \\
  49.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  50.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  51.0 &             0.0328 &                       0.0375 &                          0.0328 &           0.0328 \\
  52.0 &             0.0328 &                       0.0344 &                          0.0328 &           0.0328 \\
  53.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  54.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  55.0 &             0.0344 &                       0.0328 &                          0.0328 &           0.0328 \\
  56.0 &             0.0359 &                       0.0328 &                          0.0328 &           0.0328 \\
  57.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  58.0 &             0.0344 &                       0.0328 &                          0.0328 &           0.0328 \\
  59.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0312 \\
  60.0 &             0.0359 &                       0.0328 &                          0.0328 &           0.0328 \\
  61.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0312 \\
  62.0 &             0.0328 &                       0.0312 &                          0.0328 &           0.0328 \\
  63.0 &             0.0328 &                       0.0328 &                          0.0312 &           0.0328 \\
  64.0 &             0.0328 &                       0.0344 &                          0.0359 &           0.0344 \\
  65.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  66.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  67.0 &             0.0328 &                       0.0328 &                          0.0344 &           0.0328 \\
  68.0 &             0.0344 &                       0.0312 &                          0.0328 &           0.0328 \\
  69.0 &             0.0344 &                       0.0328 &                          0.0344 &           0.0344 \\
