Alpha,Liczba usuniętych połączeń,Metoda intuicyjna,Ulepszona metoda intuicyjna,Metoda najmniejszych wariancji,Metoda Karnin'a
0.0,0.0,48.6667,48.6667,48.6667,48.6667
1.0,8.0,48.6667,48.6667,48.6667,48.0
2.0,16.0,48.3333,49.0,48.6667,48.3333
3.0,24.0,48.3333,48.6667,48.3333,47.3333
4.0,32.0,48.3333,48.6667,48.3333,47.6667
5.0,40.0,48.3333,48.6667,47.6667,47.0
6.0,48.0,48.3333,48.0,49.0,47.3333
7.0,56.0,48.6667,48.3333,49.0,47.6667
8.0,64.0,48.3333,49.0,48.6667,47.0
9.0,72.0,49.3333,48.6667,48.0,46.0
10.0,80.0,48.0,48.6667,48.0,46.3333
11.0,88.0,47.3333,48.3333,48.0,46.3333
12.0,96.0,45.6667,48.3333,48.3333,46.0
13.0,104.0,46.6667,49.0,47.6667,46.6667
14.0,112.0,46.6667,49.3333,48.3333,45.3333
15.0,120.0,47.6667,49.0,48.3333,45.6667
16.0,128.0,48.3333,48.0,47.6667,44.0
17.0,137.0,48.0,48.3333,47.6667,44.3333
18.0,145.0,48.3333,48.6667,47.6667,46.0
19.0,153.0,48.3333,48.0,47.3333,38.3333
20.0,161.0,48.0,48.6667,47.3333,32.6667
21.0,169.0,48.3333,49.3333,47.0,30.0
22.0,177.0,48.0,48.6667,47.0,26.0
23.0,185.0,48.0,49.6667,46.6667,26.0
24.0,193.0,48.0,48.3333,46.6667,26.0
25.0,201.0,47.6667,48.0,42.0,26.0
26.0,209.0,48.0,48.0,44.0,26.0
27.0,217.0,47.0,48.6667,38.0,26.0
28.0,225.0,46.6667,47.0,37.0,26.0
29.0,233.0,47.0,47.3333,37.0,26.0
30.0,241.0,47.6667,46.3333,30.6667,26.0
31.0,249.0,46.6667,46.6667,25.6667,26.0
32.0,257.0,45.6667,46.0,26.0,26.0
33.0,265.0,45.6667,46.0,26.0,26.0
34.0,274.0,46.0,45.0,26.0,26.0
35.0,282.0,44.3333,45.0,26.0,26.0
36.0,290.0,45.6667,45.6667,26.0,26.0
37.0,298.0,43.6667,44.6667,26.0,26.0
38.0,306.0,43.6667,43.6667,26.0,26.0
39.0,314.0,42.0,42.0,26.0,26.0
40.0,322.0,43.6667,42.0,26.0,26.0
41.0,330.0,38.6667,37.0,26.0,26.0
42.0,338.0,36.0,39.0,26.0,26.0
43.0,346.0,33.0,37.0,26.0,26.0
44.0,354.0,42.0,37.6667,26.0,26.0
45.0,362.0,41.6667,33.3333,26.0,26.0
46.0,370.0,31.0,33.0,26.0,26.0
47.0,378.0,32.0,35.0,26.0,26.0
48.0,386.0,36.6667,34.3333,26.0,26.0
49.0,394.0,32.3333,35.0,26.0,26.0
50.0,403.0,30.0,26.0,26.0,26.0
51.0,411.0,25.3333,35.3333,26.0,26.0
52.0,419.0,24.6667,26.6667,26.0,26.0
53.0,427.0,29.3333,26.3333,26.0,26.0
54.0,435.0,24.3333,26.0,26.0,26.0
55.0,443.0,23.3333,26.0,26.0,26.0
56.0,451.0,32.6667,26.0,26.0,26.0
57.0,459.0,30.3333,26.0,26.0,26.0
58.0,467.0,30.0,26.0,26.0,26.0
59.0,475.0,28.3333,26.0,26.0,26.0
60.0,483.0,26.0,26.0,26.0,26.0
61.0,491.0,26.3333,26.0,26.0,26.0
62.0,499.0,27.0,26.3333,26.0,26.0
63.0,507.0,27.6667,26.6667,26.0,26.0
64.0,515.0,20.6667,26.0,26.0,26.0
65.0,523.0,22.3333,26.0,26.0,26.0
66.0,531.0,24.0,26.0,26.0,26.0
67.0,540.0,21.6667,26.0,26.0,26.0
68.0,548.0,17.3333,26.0,26.0,26.0
69.0,556.0,17.0,26.0,26.0,26.0
70.0,564.0,14.3333,26.0,26.0,26.0
71.0,572.0,13.3333,26.0,26.0,26.0
72.0,580.0,17.6667,26.0,26.0,26.0
73.0,588.0,17.6667,26.0,26.0,26.0
74.0,596.0,17.6667,26.0,26.0,26.0
75.0,604.0,17.6667,26.0,26.0,26.0
76.0,612.0,17.6667,26.0,26.0,26.0
77.0,620.0,17.6667,26.0,26.0,26.0
78.0,628.0,17.6667,26.0,26.0,26.0
79.0,636.0,17.6667,26.0,26.0,26.0
80.0,644.0,17.6667,26.0,26.0,26.0
81.0,652.0,25.0,26.0,26.0,26.0
82.0,660.0,17.6667,26.0,26.0,26.0
83.0,668.0,17.6667,26.0,26.0,26.0
84.0,677.0,17.6667,26.0,26.0,26.0
85.0,685.0,17.6667,26.0,26.0,26.0
86.0,693.0,17.6667,26.0,26.0,26.0
87.0,701.0,17.6667,26.0,26.0,26.0
88.0,709.0,17.6667,26.0,26.0,26.0
89.0,717.0,17.6667,26.0,26.0,26.0
90.0,725.0,17.6667,26.0,26.0,26.0
91.0,733.0,17.6667,26.0,26.0,26.0
92.0,741.0,15.3333,26.0,26.0,26.0
93.0,749.0,15.3333,26.0,26.0,26.0
94.0,757.0,15.3333,26.0,26.0,26.0
95.0,765.0,15.3333,26.0,26.0,26.0
96.0,773.0,15.3333,26.0,26.0,26.0
97.0,781.0,15.3333,26.0,26.0,26.0
98.0,789.0,15.3333,26.0,26.0,26.0
99.0,797.0,15.3333,26.0,26.0,26.0
100.0,806.0,15.3333,26.0,26.0,26.0
