Alpha,Metoda intuicyjna,Ulepszona metoda intuicyjna,Metoda najmniejszych wariancji,Metoda Karnin'a
0.0,0.6406,0.625,0.6406,0.6406
1.0,0.6094,0.6406,0.625,0.625
2.0,0.6406,0.6562,0.6406,0.6562
3.0,0.625,0.6094,0.625,0.625
4.0,0.6562,0.625,0.6406,0.625
5.0,0.6094,0.6406,0.6406,0.6562
6.0,0.625,0.6719,0.6406,0.6562
7.0,0.6406,0.6562,0.625,0.6094
8.0,0.5938,0.6875,0.625,0.625
9.0,0.6406,0.6406,0.625,0.625
10.0,0.6562,0.6406,0.6562,0.625
11.0,0.625,0.625,0.6406,0.625
12.0,0.6406,0.625,0.6719,0.625
13.0,0.6406,0.625,0.6406,0.6406
14.0,0.7031,0.6094,0.6406,0.6719
15.0,0.6406,0.625,0.6406,0.6562
16.0,0.625,0.6406,0.6406,0.6406
17.0,0.6562,0.6406,0.6406,0.625
18.0,0.625,0.6562,0.625,0.6875
19.0,0.625,0.6094,0.6719,0.6406
20.0,0.625,0.625,0.5938,0.6562
21.0,0.625,0.6562,0.6719,0.625
22.0,0.6406,0.6719,0.6406,0.6094
23.0,0.6562,0.6094,0.6406,0.6406
24.0,0.625,0.6562,0.6875,0.625
25.0,0.5938,0.6094,0.625,0.6094
26.0,0.625,0.6094,0.6562,0.6406
27.0,0.6094,0.6406,0.625,0.6094
28.0,0.6406,0.6406,0.625,0.625
29.0,0.6094,0.625,0.6406,0.625
30.0,0.6719,0.625,0.625,0.6562
31.0,0.625,0.6406,0.6562,0.6406
32.0,0.6875,0.6406,0.6094,0.6094
33.0,0.6406,0.625,0.6562,0.6094
34.0,0.6562,0.6406,0.6406,0.6875
35.0,0.6406,0.6562,0.6406,0.6406
36.0,0.6094,0.625,0.6406,0.6406
37.0,0.6094,0.6094,0.6719,0.6562
38.0,0.6562,0.6094,0.625,0.625
39.0,0.625,0.6094,0.6094,0.6094
40.0,0.6719,0.6406,0.625,0.6406
41.0,0.625,0.6875,0.6094,0.6094
42.0,0.6562,0.625,0.6094,0.6094
43.0,0.6094,0.6094,0.6562,0.6094
44.0,0.6094,0.6406,0.625,0.625
45.0,0.6719,0.6562,0.6562,0.6406
46.0,0.6562,0.6406,0.625,0.6406
47.0,0.6406,0.6406,0.625,0.6406
48.0,0.6406,0.6094,0.6094,0.6406
49.0,0.6562,0.625,0.6562,0.6094
50.0,0.6562,0.6406,0.6719,0.6875
51.0,0.625,0.6094,0.6094,0.6562
52.0,0.6875,0.625,0.625,0.625
53.0,0.6562,0.6719,0.625,0.6562
54.0,0.625,0.6406,0.625,0.625
55.0,0.6562,0.625,0.5938,0.6094
56.0,0.625,0.625,0.6094,0.6562
57.0,0.6562,0.6094,0.625,0.6406
58.0,0.625,0.6562,0.6406,0.6406
59.0,0.5938,0.625,0.6094,0.6562
60.0,0.625,0.6406,0.6562,0.6406
61.0,0.5938,0.6719,0.625,0.6562
62.0,0.6719,0.6719,0.625,0.625
63.0,0.6406,0.6875,0.6562,0.6562
64.0,0.6094,0.6562,0.6562,0.6094
65.0,0.6406,0.6406,0.6406,0.5938
66.0,0.6406,0.625,0.625,0.625
67.0,0.6406,0.6562,0.6406,0.625
68.0,0.6094,0.6562,0.6719,0.5938
69.0,0.6094,0.625,0.625,0.625
70.0,0.625,0.6406,0.6406,0.625
71.0,0.6094,0.6562,0.6406,0.5938
72.0,0.6094,0.6406,0.6406,0.625
73.0,0.6406,0.6719,0.625,0.6094
74.0,0.6562,0.625,0.625,0.6406
75.0,0.625,0.625,0.625,0.6562
76.0,0.625,0.6406,0.6562,0.625
77.0,0.6719,0.625,0.6406,0.6094
78.0,0.6719,0.6094,0.6406,0.625
79.0,0.6406,0.6406,0.6406,0.625
80.0,0.6562,0.6562,0.6562,0.6719
81.0,0.6562,0.6562,0.625,0.6406
82.0,0.6406,0.6719,0.6406,0.625
83.0,0.6406,0.6094,0.6406,0.6562
84.0,0.625,0.625,0.6406,0.6719
85.0,0.6094,0.6406,0.625,0.6719
86.0,0.6875,0.625,0.6719,0.6719
87.0,0.625,0.5938,0.6094,0.625
88.0,0.6406,0.6094,0.6406,0.6094
89.0,0.625,0.625,0.6406,0.6094
90.0,0.6094,0.625,0.6719,0.6406
91.0,0.6406,0.5938,0.625,0.6094
92.0,0.6719,0.6562,0.6094,0.625
93.0,0.6406,0.6406,0.6406,0.625
94.0,0.6562,0.6406,0.6719,0.6094
95.0,0.625,0.625,0.6562,0.625
96.0,0.6094,0.6406,0.625,0.6719
97.0,0.625,0.6406,0.6562,0.6094
98.0,0.6875,0.625,0.625,0.6406
99.0,0.625,0.625,0.625,0.625
100.0,0.6719,0.6562,0.6406,0.6094
