Alpha,Liczba usuniętych połączeń,Metoda intuicyjna,Ulepszona metoda intuicyjna,Metoda najmniejszych wariancji,Metoda Karnin'a
0.0,0.0,90.375,90.375,90.375,90.375
1.0,5.0,90.375,90.375,90.375,90.35
2.0,10.0,90.375,90.375,90.375,90.4
3.0,15.0,90.375,90.375,90.375,90.4
4.0,20.0,90.925,90.5,90.375,90.35
5.0,25.0,90.825,90.5,90.375,90.35
6.0,30.0,90.725,90.55,90.375,90.375
7.0,35.0,90.725,90.625,90.375,90.325
8.0,40.0,90.825,90.625,90.375,90.275
9.0,45.0,91.0,90.775,90.4,90.25
10.0,50.0,90.925,90.7,90.4,90.325
11.0,55.0,91.325,90.65,90.4,90.3
12.0,60.0,90.425,90.425,90.4,90.275
13.0,65.0,90.325,90.45,90.375,90.25
14.0,70.0,90.375,90.525,90.4,90.275
15.0,75.0,89.85,90.4,90.4,90.275
16.0,80.0,89.6,90.45,90.375,90.275
17.0,86.0,90.2,90.5,90.425,90.175
18.0,91.0,89.775,90.475,90.425,90.1
19.0,96.0,89.725,90.5,90.4,90.4
20.0,101.0,89.825,90.425,90.4,90.4
21.0,106.0,89.275,90.35,90.425,90.5
22.0,111.0,89.225,90.5,90.425,90.525
23.0,116.0,88.6,90.275,90.425,90.55
24.0,121.0,88.65,90.15,90.45,90.55
25.0,126.0,88.975,90.25,90.525,90.525
26.0,131.0,88.9,90.225,90.55,90.55
27.0,136.0,88.4,90.35,90.425,90.4
28.0,141.0,88.925,90.375,90.425,90.5
29.0,146.0,88.55,90.275,90.325,90.525
30.0,151.0,87.7,90.3,90.9,90.575
31.0,156.0,87.625,90.275,90.725,89.875
32.0,161.0,87.475,90.375,90.125,89.925
33.0,166.0,87.025,90.375,89.975,90.15
34.0,172.0,86.575,90.175,89.925,90.2
35.0,177.0,86.55,90.175,90.025,90.25
36.0,182.0,86.35,90.2,89.675,90.2
37.0,187.0,86.175,90.175,89.675,90.6
38.0,192.0,86.1,90.125,90.15,90.15
39.0,197.0,85.475,90.225,89.95,90.0
40.0,202.0,85.375,90.225,90.05,89.8
41.0,207.0,86.875,89.7,89.975,89.775
42.0,212.0,86.175,89.925,89.85,89.5
43.0,217.0,85.975,89.475,89.775,89.75
44.0,222.0,85.575,89.425,89.775,87.1
45.0,227.0,85.025,89.425,89.45,86.875
46.0,232.0,84.925,89.45,89.25,86.225
47.0,237.0,84.8,89.3,89.425,84.875
48.0,242.0,84.025,89.275,89.425,83.325
49.0,247.0,84.1,89.65,89.425,82.45
50.0,253.0,83.925,89.65,88.625,82.25
51.0,258.0,84.05,89.975,88.25,82.15
52.0,263.0,83.975,90.0,88.175,81.95
53.0,268.0,84.05,89.95,87.35,80.925
54.0,273.0,83.8,89.825,87.3,78.925
55.0,278.0,84.4,89.4,87.275,68.475
56.0,283.0,83.55,89.025,86.875,68.5
57.0,288.0,84.375,89.175,86.95,68.625
58.0,293.0,84.575,88.9,86.875,75.575
59.0,298.0,84.35,89.1,85.125,74.275
60.0,303.0,84.0,89.2,85.125,74.3
61.0,308.0,84.3,89.275,84.675,74.2
62.0,313.0,84.525,88.575,84.275,64.0
63.0,318.0,85.2,88.575,83.225,64.0
64.0,323.0,82.725,89.05,82.775,64.0
65.0,328.0,81.45,88.6,82.525,64.0
66.0,333.0,81.8,88.0,82.0,64.0
67.0,339.0,80.575,88.0,82.0,64.0
68.0,344.0,80.775,87.0,81.5,64.0
69.0,349.0,78.225,85.1,81.6,64.0
70.0,354.0,80.45,84.375,81.625,64.0
71.0,359.0,82.6,84.025,81.625,64.0
72.0,364.0,82.475,83.525,64.0,64.0
73.0,369.0,82.8,82.775,64.0,64.0
74.0,374.0,82.675,82.375,64.0,64.0
75.0,379.0,82.5,81.7,64.0,64.0
76.0,384.0,80.9,81.575,64.0,64.0
77.0,389.0,80.9,81.575,64.0,64.0
78.0,394.0,78.775,79.925,64.0,64.0
79.0,399.0,73.625,71.325,64.0,64.0
80.0,404.0,73.425,71.375,64.0,64.0
81.0,409.0,81.7,64.0,64.0,64.0
82.0,414.0,83.65,64.0,64.0,64.0
83.0,419.0,83.85,64.0,64.0,64.0
84.0,425.0,64.0,64.0,64.0,64.0
85.0,430.0,64.0,64.0,64.0,64.0
86.0,435.0,64.0,64.0,64.0,64.0
87.0,440.0,36.0,64.0,64.0,64.0
88.0,445.0,36.0,64.0,64.0,64.0
89.0,450.0,36.0,64.0,64.0,64.0
90.0,455.0,36.0,64.0,64.0,64.0
91.0,460.0,36.0,64.0,64.0,64.0
92.0,465.0,36.0,64.0,64.0,64.0
93.0,470.0,36.0,64.0,64.0,64.0
94.0,475.0,36.0,64.0,64.0,64.0
95.0,480.0,36.0,64.0,64.0,64.0
96.0,485.0,36.0,64.0,64.0,64.0
97.0,490.0,36.0,64.0,64.0,64.0
98.0,495.0,36.0,64.0,64.0,64.0
99.0,500.0,36.0,64.0,64.0,64.0
100.0,506.0,36.0,64.0,64.0,64.0
