Alpha,Metoda intuicyjna,Ulepszona metoda intuicyjna,Metoda najmniejszych wariancji,Metoda Karnin'a
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.5312,43.1562,0.1406
2.0,0.0,0.9375,42.6406,0.1719
3.0,0.0156,1.0781,42.9531,0.4219
4.0,0.0,1.5625,43.0,0.5938
5.0,0.0156,1.8594,48.7188,0.8281
6.0,0.0156,2.3125,44.3438,0.875
7.0,0.0,2.5156,44.4531,1.0469
8.0,0.0156,2.9375,44.375,1.3438
9.0,0.0,3.2969,44.2344,1.6875
10.0,0.0156,3.75,45.3594,2.2656
11.0,0.0156,4.25,44.6406,2.7031
12.0,0.0156,4.5469,44.5781,2.7969
13.0,0.0156,4.9375,44.7969,3.1094
14.0,0.0156,5.3438,44.2031,3.6562
15.0,0.0156,5.8594,44.25,3.5938
16.0,0.0156,6.1406,44.7188,3.7031
17.0,0.0156,6.7969,44.4688,4.3906
18.0,0.0156,7.0469,45.1562,4.3906
19.0,0.0156,8.0,47.0469,4.6406
20.0,0.0156,8.1719,48.9531,4.9062
21.0,0.0156,8.5312,47.3438,5.0
22.0,0.0156,8.4062,44.1406,5.2344
23.0,0.0312,8.7188,43.4844,5.25
24.0,0.0156,8.9375,42.5156,5.6875
25.0,0.0156,9.2188,42.5938,6.1094
26.0,0.0156,9.875,42.9219,6.2812
27.0,0.0312,10.2188,42.6406,6.4375
28.0,0.0312,10.7031,43.4844,6.875
29.0,0.0469,11.3281,44.0,7.2656
30.0,0.0312,12.0156,44.375,7.5
31.0,0.0156,12.1094,44.5,7.8594
32.0,0.0469,12.625,44.0156,7.7812
33.0,0.0312,13.0938,43.3125,8.3281
34.0,0.0312,13.25,43.3125,8.6562
35.0,0.0312,13.7969,43.1562,9.125
36.0,0.0312,14.3281,43.5312,9.3438
37.0,0.0312,14.2656,42.7812,9.5
38.0,0.0312,14.4062,42.8125,9.6719
39.0,0.0312,14.7656,42.7969,10.1719
40.0,0.0312,15.2344,42.5781,10.375
41.0,0.0312,15.5312,42.9219,10.7344
42.0,0.0312,15.8906,43.25,11.2812
43.0,0.0469,16.6719,43.5469,11.2812
44.0,0.0312,17.2031,43.7031,11.5781
45.0,0.0469,17.2812,43.7812,11.9531
46.0,0.0469,17.6406,43.8438,12.5625
47.0,0.0469,18.4062,44.0781,12.8438
48.0,0.0469,18.6875,42.9375,12.6094
49.0,0.0312,18.5312,42.7969,13.25
50.0,0.0312,19.4531,42.8281,13.5469
51.0,0.0469,19.625,42.7969,13.9688
52.0,0.0469,20.1875,42.6875,14.2969
53.0,0.0469,20.9375,43.0,14.7188
54.0,0.0625,20.7656,42.875,15.1562
55.0,0.0469,21.4062,42.8906,15.1406
56.0,0.0469,21.2656,42.5312,15.4688
57.0,0.0625,21.4844,42.5938,15.7188
58.0,0.0469,21.875,42.8438,16.1406
59.0,0.0625,22.3281,42.9219,16.6094
60.0,0.0625,22.6562,42.7188,16.9688
61.0,0.0625,23.0781,42.8125,17.3281
62.0,0.0469,23.5,42.6094,17.5781
63.0,0.0469,24.0156,42.6406,18.0156
64.0,0.0469,24.5625,42.6562,18.4219
65.0,0.0625,25.3438,42.8906,18.8594
66.0,0.0625,25.7031,42.6094,19.2656
67.0,0.0469,26.1719,42.6719,19.6406
68.0,0.0625,27.0,42.7812,20.1875
69.0,0.0625,27.2656,42.6875,21.6562
70.0,0.0625,27.8281,42.5625,21.25
71.0,0.0625,28.4844,42.4844,22.0625
72.0,0.0625,29.0312,42.4375,22.3125
73.0,0.0625,29.0,42.6094,22.7344
74.0,0.0625,29.6562,42.8125,23.4375
75.0,0.0625,30.125,42.8906,24.1562
76.0,0.0625,30.4688,42.75,24.6406
77.0,0.0625,30.5156,42.7812,25.2812
78.0,0.0625,30.9844,42.9062,25.9375
79.0,0.0781,31.2656,42.875,26.5938
80.0,0.0781,31.6562,42.6406,27.375
81.0,0.0781,32.3438,42.75,28.0469
82.0,0.0625,32.3906,42.9062,28.5781
83.0,0.0781,32.5938,42.8594,29.5312
84.0,0.0625,33.2188,42.5938,30.2812
85.0,0.0625,33.9375,42.6562,31.2031
86.0,0.0781,34.4688,42.7188,31.5625
87.0,0.0781,34.6094,42.7031,32.5156
88.0,0.0938,35.3281,42.75,33.1875
89.0,0.0781,35.5781,42.7344,33.6719
90.0,0.0781,36.1562,42.875,34.25
91.0,0.0781,36.3438,42.8281,35.4531
92.0,0.0781,36.7969,42.5156,36.0781
93.0,0.0781,37.8906,42.7344,36.8594
94.0,0.0938,37.9375,42.8281,37.625
95.0,0.0781,38.375,42.9219,38.4219
96.0,0.0938,39.25,43.0625,38.875
97.0,0.0938,39.8438,42.8438,40.0781
98.0,0.0781,40.9531,43.0,40.9062
99.0,0.0781,41.8438,42.7031,41.9375
100.0,0.1094,42.9688,42.9375,43.1406
