Alpha,Liczba usuniętych połączeń,Metoda intuicyjna,Ulepszona metoda intuicyjna,Metoda najmniejszych wariancji,Metoda Karnin'a
0.0,0.0,62.6,62.6,62.6,62.6
1.0,3.0,62.6,62.6,62.6,62.6
2.0,6.0,62.6,62.6,62.6,62.6
3.0,9.0,62.6,62.6,62.6,62.6
4.0,13.0,62.6,62.6,62.6,62.6
5.0,16.0,62.6,62.6,62.6,62.6
6.0,19.0,62.6,62.6,62.6,62.6
7.0,23.0,62.6,62.6,62.6,62.6
8.0,26.0,62.6,62.6,62.6,62.6
9.0,29.0,62.6,62.6,62.6,62.6
10.0,33.0,62.6,62.6,62.6,62.6
11.0,36.0,62.6,62.6,62.6,62.6
12.0,39.0,62.6,62.6,62.6,62.6
13.0,43.0,62.6,62.6,62.6,62.6
14.0,46.0,62.6,62.6,62.6,62.6
15.0,49.0,62.6,62.6,62.6,62.6
16.0,52.0,62.6,62.6,62.6,62.6
17.0,56.0,62.6,62.6,62.6,62.6
18.0,59.0,62.6,62.6,62.6,62.6
19.0,62.0,62.6,62.6,62.6,62.6
20.0,66.0,62.6,62.6,62.6,62.6
21.0,69.0,62.6,62.6,62.6,62.6
22.0,72.0,62.6,62.6,62.6,62.6
23.0,76.0,62.6,62.6,62.6,62.6
24.0,79.0,62.6,62.6,62.6,62.6
25.0,82.0,62.6,62.6,62.6,62.6
26.0,86.0,62.6,62.6,62.6,62.6
27.0,89.0,62.6,62.6,62.6,62.6
28.0,92.0,62.6,62.6,62.6,62.6
29.0,95.0,62.6,62.6,62.6,62.6
30.0,99.0,62.6,62.6,62.6,62.6
31.0,102.0,62.6,62.6,62.6,62.6
32.0,105.0,62.6,62.6,62.6,62.6
33.0,109.0,62.6,62.6,62.6,62.6
34.0,112.0,62.6,62.6,62.6,62.6
35.0,115.0,62.6,62.6,62.6,62.6
36.0,119.0,62.6,62.6,62.6,62.6
37.0,122.0,62.6,62.6,62.6,62.6
38.0,125.0,62.6,62.6,62.6,62.6
39.0,129.0,62.6,62.6,62.6,62.6
40.0,132.0,62.6,62.6,62.6,62.6
41.0,135.0,62.6,62.6,62.6,62.6
42.0,139.0,62.6,62.6,62.6,62.6
43.0,142.0,62.6,62.6,62.6,62.6
44.0,145.0,62.6,62.6,62.6,62.6
45.0,148.0,62.6,62.6,62.6,62.6
46.0,152.0,62.6,62.6,62.6,62.6
47.0,155.0,62.6,62.6,62.6,62.6
48.0,158.0,62.6,62.6,62.6,62.6
49.0,162.0,62.6,62.6,62.6,62.6
50.0,165.0,62.6,62.6,62.6,62.6
51.0,168.0,62.6,62.6,62.6,62.6
52.0,172.0,62.6,62.6,62.6,62.6
53.0,175.0,62.6,62.6,62.6,62.6
54.0,178.0,62.6,62.6,62.6,62.6
55.0,182.0,62.6,62.6,62.6,62.6
56.0,185.0,62.6,62.6,62.6,62.6
57.0,188.0,62.6,62.6,62.6,62.6
58.0,191.0,62.6,62.6,62.6,62.6
59.0,195.0,62.6,62.6,62.6,62.6
60.0,198.0,62.6,62.6,62.6,62.6
61.0,201.0,62.6,62.6,62.6,62.6
62.0,205.0,62.6,62.6,62.6,62.6
63.0,208.0,62.6,62.6,62.6,62.6
64.0,211.0,62.6,62.6,62.6,62.6
65.0,215.0,62.6,62.6,62.6,62.6
66.0,218.0,62.6,62.6,62.6,62.6
67.0,221.0,62.6,62.6,62.6,62.6
68.0,225.0,62.6,62.6,62.6,62.6
69.0,228.0,62.6,62.6,62.6,62.6
70.0,231.0,62.6,62.6,62.6,62.6
71.0,235.0,62.6,62.6,62.6,62.6
72.0,238.0,62.6,62.6,62.6,62.6
73.0,241.0,62.6,62.6,62.6,62.6
74.0,244.0,62.6,62.6,62.6,62.6
75.0,248.0,62.6,62.6,62.6,62.6
76.0,251.0,62.6,62.6,62.6,62.6
77.0,254.0,62.6,62.6,62.6,62.6
78.0,258.0,62.6,62.6,62.6,62.6
79.0,261.0,62.6,62.6,62.6,62.6
80.0,264.0,62.6,62.6,62.6,62.6
81.0,268.0,62.6,62.6,62.6,62.6
82.0,271.0,62.6,62.6,62.6,62.6
83.0,274.0,62.6,62.6,62.6,62.6
84.0,278.0,62.6,62.6,62.6,62.6
85.0,281.0,62.6,62.6,62.6,62.6
86.0,284.0,62.6,62.6,62.6,62.6
87.0,287.0,62.6,62.6,62.6,62.6
88.0,291.0,62.6,62.6,62.6,62.6
89.0,294.0,62.6,62.6,62.6,62.6
90.0,297.0,62.6,62.6,62.6,62.6
91.0,301.0,62.6,62.6,62.6,62.6
92.0,304.0,62.6,62.6,62.6,62.6
93.0,307.0,62.6,62.6,62.6,62.6
94.0,311.0,62.6,62.6,62.6,62.6
95.0,314.0,62.6,62.6,62.6,62.6
96.0,317.0,62.6,62.6,62.6,62.6
97.0,321.0,62.6,62.6,62.6,62.6
98.0,324.0,62.6,62.6,62.6,62.6
99.0,327.0,62.6,62.6,62.6,62.6
100.0,331.0,62.6,62.6,62.6,62.6
