Alpha,Metoda intuicyjna,Ulepszona metoda intuicyjna,Metoda najmniejszych wariancji,Metoda Karnin'a
0.0,0.1812,0.1828,0.1797,0.1766
1.0,0.1812,0.1797,0.175,0.1797
2.0,0.1766,0.175,0.175,0.1812
3.0,0.1812,0.1875,0.2078,0.1984
4.0,0.2047,0.1812,0.1859,0.2047
5.0,0.1984,0.1797,0.1672,0.1672
6.0,0.1719,0.1625,0.1672,0.1719
7.0,0.1703,0.1656,0.1672,0.1656
8.0,0.1656,0.1672,0.1734,0.1812
9.0,0.1875,0.1859,0.2031,0.1844
10.0,0.1719,0.1812,0.1828,0.1781
11.0,0.1859,0.175,0.1766,0.175
12.0,0.1797,0.1953,0.1859,0.1734
13.0,0.1781,0.1797,0.1844,0.1688
14.0,0.1703,0.1781,0.1625,0.1672
15.0,0.1641,0.1625,0.1688,0.1656
16.0,0.1672,0.1672,0.1672,0.1766
17.0,0.1938,0.1828,0.1984,0.175
18.0,0.1734,0.1734,0.1719,0.1672
19.0,0.1672,0.1688,0.175,0.1688
20.0,0.1688,0.1672,0.1688,0.1672
21.0,0.1688,0.1672,0.1703,0.1844
22.0,0.1672,0.1766,0.1672,0.1719
23.0,0.1688,0.1688,0.1703,0.1812
24.0,0.1734,0.1703,0.1781,0.1734
25.0,0.1688,0.175,0.1703,0.1734
26.0,0.1703,0.1656,0.1703,0.1734
27.0,0.1703,0.1703,0.1781,0.1719
28.0,0.1812,0.1734,0.1656,0.1703
29.0,0.1719,0.1672,0.1672,0.1656
30.0,0.1734,0.1719,0.1719,0.1703
31.0,0.1703,0.1703,0.1766,0.1719
32.0,0.1688,0.1719,0.1672,0.1656
33.0,0.175,0.175,0.1672,0.1719
34.0,0.1719,0.1703,0.1703,0.1766
35.0,0.1719,0.175,0.1672,0.1719
36.0,0.1766,0.1656,0.1766,0.1688
37.0,0.1656,0.1656,0.1688,0.1688
38.0,0.1672,0.1656,0.175,0.1734
39.0,0.1719,0.1688,0.1766,0.1766
40.0,0.1688,0.1734,0.1766,0.1703
41.0,0.1688,0.1688,0.1719,0.1719
42.0,0.1734,0.1703,0.1719,0.1734
43.0,0.175,0.1672,0.1734,0.1766
44.0,0.1734,0.1703,0.1672,0.1672
45.0,0.1719,0.1656,0.1719,0.1688
46.0,0.1703,0.1609,0.1688,0.1672
47.0,0.1703,0.1656,0.175,0.1672
48.0,0.1688,0.1656,0.1688,0.1656
49.0,0.1688,0.1734,0.1656,0.1688
50.0,0.1656,0.1672,0.1703,0.1641
51.0,0.1734,0.1703,0.1688,0.1703
52.0,0.1672,0.1641,0.1719,0.1656
53.0,0.1766,0.1688,0.1719,0.1719
54.0,0.1672,0.1641,0.1672,0.1688
55.0,0.1688,0.1703,0.1672,0.1703
56.0,0.1672,0.1703,0.1688,0.1656
57.0,0.1656,0.1672,0.1656,0.1656
58.0,0.1656,0.1641,0.1734,0.1688
59.0,0.1656,0.1672,0.1656,0.1703
60.0,0.1656,0.1641,0.1688,0.1672
61.0,0.1688,0.1734,0.1641,0.1641
62.0,0.1688,0.1641,0.175,0.1641
63.0,0.1672,0.1703,0.1672,0.1672
64.0,0.1656,0.1688,0.1688,0.1688
65.0,0.1688,0.1656,0.1656,0.1719
66.0,0.1656,0.1719,0.1656,0.1688
67.0,0.1672,0.1656,0.1656,0.1688
68.0,0.1688,0.1625,0.1656,0.1703
69.0,0.1656,0.1719,0.1656,0.1656
70.0,0.1734,0.1656,0.1734,0.1703
71.0,0.1703,0.1703,0.1656,0.1672
72.0,0.1656,0.1641,0.1641,0.1641
73.0,0.1656,0.1656,0.1703,0.1703
74.0,0.1703,0.1641,0.1672,0.1641
75.0,0.1672,0.1656,0.1672,0.1641
76.0,0.1656,0.1672,0.1688,0.1688
77.0,0.1688,0.1656,0.1688,0.1734
78.0,0.1656,0.1656,0.1672,0.175
79.0,0.1719,0.1734,0.1656,0.1734
80.0,0.1688,0.1672,0.1672,0.1719
81.0,0.1672,0.1672,0.1688,0.1688
82.0,0.1656,0.1672,0.1688,0.1672
83.0,0.1672,0.1703,0.1656,0.1688
84.0,0.1703,0.1734,0.1688,0.1656
85.0,0.1703,0.1656,0.1672,0.1719
86.0,0.1688,0.1641,0.1688,0.1641
87.0,0.1688,0.1672,0.1734,0.1641
88.0,0.1719,0.1672,0.1703,0.1719
89.0,0.1656,0.1719,0.1688,0.1672
90.0,0.1672,0.1625,0.1672,0.1672
91.0,0.1625,0.1703,0.1719,0.1734
92.0,0.1641,0.1766,0.1703,0.1672
93.0,0.1703,0.1672,0.1672,0.1672
94.0,0.1703,0.1656,0.1719,0.1688
95.0,0.1656,0.1641,0.175,0.1688
96.0,0.1641,0.1672,0.1656,0.1688
97.0,0.1688,0.1703,0.1703,0.1641
98.0,0.1656,0.1641,0.1719,0.1703
99.0,0.1656,0.1641,0.1688,0.1656
100.0,0.1641,0.1656,0.1688,0.1656
