\begin{tabular}{|c|c|c|c|c|}
\toprule
 Alpha &  Metoda intuicyjna &  Ulepszona metoda intuicyjna &  Metoda najmniejszych wariancji &  Metoda Karnin'a \\
\midrule
   0 &             0.1812 &                       0.1828 &                          0.1797 &           0.1766 \\
   1 &             0.1812 &                       0.1797 &                          0.1750 &           0.1797 \\
   2 &             0.1766 &                       0.1750 &                          0.1750 &           0.1812 \\
   3 &             0.1812 &                       0.1875 &                          0.2078 &           0.1984 \\
   4 &             0.2047 &                       0.1812 &                          0.1859 &           0.2047 \\
   5 &             0.1984 &                       0.1797 &                          0.1672 &           0.1672 \\
   6 &             0.1719 &                       0.1625 &                          0.1672 &           0.1719 \\
   7 &             0.1703 &                       0.1656 &                          0.1672 &           0.1656 \\
   8 &             0.1656 &                       0.1672 &                          0.1734 &           0.1812 \\
   9 &             0.1875 &                       0.1859 &                          0.2031 &           0.1844 \\
  10 &             0.1719 &                       0.1812 &                          0.1828 &           0.1781 \\
  11 &             0.1859 &                       0.1750 &                          0.1766 &           0.1750 \\
  12 &             0.1797 &                       0.1953 &                          0.1859 &           0.1734 \\
  13 &             0.1781 &                       0.1797 &                          0.1844 &           0.1688 \\
  14 &             0.1703 &                       0.1781 &                          0.1625 &           0.1672 \\
  15 &             0.1641 &                       0.1625 &                          0.1688 &           0.1656 \\
  16 &             0.1672 &                       0.1672 &                          0.1672 &           0.1766 \\
  17 &             0.1938 &                       0.1828 &                          0.1984 &           0.1750 \\
  18 &             0.1734 &                       0.1734 &                          0.1719 &           0.1672 \\
  19 &             0.1672 &                       0.1688 &                          0.1750 &           0.1688 \\
  20 &             0.1688 &                       0.1672 &                          0.1688 &           0.1672 \\
  21 &             0.1688 &                       0.1672 &                          0.1703 &           0.1844 \\
  22 &             0.1672 &                       0.1766 &                          0.1672 &           0.1719 \\
  23 &             0.1688 &                       0.1688 &                          0.1703 &           0.1812 \\
  24 &             0.1734 &                       0.1703 &                          0.1781 &           0.1734 \\
  25 &             0.1688 &                       0.1750 &                          0.1703 &           0.1734 \\
  26 &             0.1703 &                       0.1656 &                          0.1703 &           0.1734 \\
  27 &             0.1703 &                       0.1703 &                          0.1781 &           0.1719 \\
  28 &             0.1812 &                       0.1734 &                          0.1656 &           0.1703 \\
  29 &             0.1719 &                       0.1672 &                          0.1672 &           0.1656 \\
  30 &             0.1734 &                       0.1719 &                          0.1719 &           0.1703 \\
  31 &             0.1703 &                       0.1703 &                          0.1766 &           0.1719 \\
  32 &             0.1688 &                       0.1719 &                          0.1672 &           0.1656 \\
  33 &             0.1750 &                       0.1750 &                          0.1672 &           0.1719 \\
  34 &             0.1719 &                       0.1703 &                          0.1703 &           0.1766 \\
  35 &             0.1719 &                       0.1750 &                          0.1672 &           0.1719 \\
  36 &             0.1766 &                       0.1656 &                          0.1766 &           0.1688 \\
  37 &             0.1656 &                       0.1656 &                          0.1688 &           0.1688 \\
  38 &             0.1672 &                       0.1656 &                          0.1750 &           0.1734 \\
