\begin{tabular}{|c|c|c|c|c|}
\toprule
 Alpha &  Metoda intuicyjna &  Ulepszona metoda intuicyjna &  Metoda najmniejszych wariancji &  Metoda Karnin'a \\
\midrule
   0 &             0.0000 &                       0.0000 &                          0.0000 &           0.0000 \\
   10 &             0.0156 &                       0.0781 &                         56.0938 &           0.7969 \\
   2 &             0.0000 &                       0.3594 &                         58.7188 &           1.7500 \\
   3 &             0.0156 &                       0.9375 &                         57.4375 &           3.1562 \\
   4 &             0.0312 &                       1.6250 &                         57.0312 &           4.3594 \\
   5 &             0.0156 &                       2.5000 &                         54.7969 &           4.8750 \\
   6 &             0.0156 &                       2.6719 &                         52.8906 &           5.5781 \\
   7 &             0.0312 &                       3.0469 &                         52.6250 &           6.8594 \\
   8 &             0.0312 &                       3.5781 &                         52.7812 &           8.0781 \\
   9 &             0.0312 &                       4.5312 &                         56.8125 &           9.7188 \\
  10 &             0.0312 &                       5.0469 &                         56.3125 &          10.6406 \\
  11 &             0.0469 &                       5.4688 &                         56.5156 &          11.5625 \\
  12 &             0.0469 &                       5.7500 &                         57.0938 &          13.0781 \\
  13 &             0.0469 &                       5.9844 &                         57.3438 &          14.5000 \\
  14 &             0.0469 &                       6.0000 &                         53.1719 &          14.5469 \\
  15 &             0.0469 &                       6.6719 &                         53.2656 &          16.1250 \\
  16 &             0.0469 &                       7.2812 &                         53.2969 &          17.7500 \\
  17 &             0.0469 &                       8.0312 &                         58.1875 &          19.2344 \\
  18 &             0.0469 &                       8.3438 &                         53.6719 &          19.3750 \\
  19 &             0.0469 &                       8.4688 &                         53.4219 &          20.8750 \\
  20 &             0.0625 &                       8.8125 &                         53.0625 &          21.4375 \\
  21 &             0.0625 &                       9.3750 &                         53.3438 &          22.8438 \\
  22 &             0.0625 &                      10.0781 &                         53.5156 &          23.4844 \\
  23 &             0.0625 &                      10.6562 &                         53.7031 &          23.9688 \\
  24 &             0.0781 &                      10.7812 &                         53.9531 &          25.4688 \\
  25 &             0.0781 &                      11.4219 &                         53.6875 &          25.4375 \\
  26 &             0.0938 &                      11.7031 &                         53.4844 &          26.3750 \\
  27 &             0.0938 &                      12.4219 &                         53.9219 &          26.6719 \\
  28 &             0.0781 &                      12.7969 &                         53.9531 &          27.5938 \\
  29 &             0.0781 &                      13.3125 &                         53.0156 &          27.5938 \\
  30 &             0.0781 &                      13.3906 &                         52.9062 &          28.3906 \\
  31 &             0.0938 &                      13.9688 &                         53.2812 &          29.7188 \\
  32 &             0.0938 &                      14.6406 &                         54.0000 &          30.5938 \\
  33 &             0.1250 &                      15.1094 &                         53.7969 &          31.2188 \\
  34 &             0.0938 &                      15.3906 &                         53.9844 &          31.5000 \\
  35 &             0.1094 &                      16.0625 &                         53.9688 &          32.2812 \\
  36 &             0.1250 &                      16.8750 &                         53.3750 &          32.2344 \\
  37 &             0.1094 &                      17.0156 &                         53.5469 &          33.9062 \\
  38 &             0.1250 &                      16.9531 &                         53.5469 &          34.9219 \\
  39 &             0.1406 &                      17.8594 &                         53.8906 &          35.3125 \\
  40 &             0.1250 &                      18.2031 &                         54.0625 &          36.2969 \\
  41 &             0.1250 &                      18.6719 &                         53.9844 &          36.6875 \\
  42 &             0.1406 &                      19.2969 &                         54.0000 &          37.0000 \\
  43 &             0.1406 &                      19.1094 &                         53.8750 &          37.7344 \\
  44 &             0.1406 &                      19.6094 &                         53.5156 &          38.5781 \\
  45 &             0.1406 &                      19.4531 &                         52.8438 &          38.2031 \\
  46 &             0.1406 &                      19.9531 &                         52.8438 &          38.8750 \\
  47 &             0.1406 &                      20.1562 &                         52.9062 &          39.4219 \\
  48 &             0.1406 &                      20.5156 &                         52.6719 &          39.9062 \\
  49 &             0.1406 &                      21.1719 &                         53.2031 &          40.3594 \\
  50 &             0.1562 &                      21.9844 &                         52.7500 &          41.3281 \\
  51 &             0.1562 &                      22.2812 &                         53.1094 &          41.7031 \\
  52 &             0.1562 &                      22.6562 &                         53.0781 &          42.0938 \\
  53 &             0.1562 &                      23.4062 &                         53.1562 &          42.7500 \\
  54 &             0.1562 &                      23.7812 &                         52.9375 &          42.9531 \\
  55 &             0.1719 &                      24.3750 &                         53.1094 &          43.4375 \\
  56 &             0.1719 &                      24.7344 &                         52.8906 &          43.7969 \\
  57 &             0.1875 &                      25.0312 &                         53.4375 &          43.7812 \\
  58 &             0.1719 &                      25.3906 &                         53.1094 &          44.1094 \\
  59 &             0.1719 &                      25.8594 &                         53.1875 &          44.9219 \\
  60 &             0.1875 &                      26.4219 &                         53.2344 &          45.5938 \\
  61 &             0.2031 &                      26.8438 &                         53.2969 &          45.4844 \\
  62 &             0.1875 &                      27.5625 &                         53.4062 &          46.0938 \\
  63 &             0.1875 &                      28.5625 &                         53.1562 &          46.2500 \\
  64 &             0.1875 &                      29.0156 &                         52.8281 &          46.1562 \\
  65 &             0.1875 &                      29.7656 &                         53.0938 &          46.9688 \\
  66 &             0.2188 &                      29.7969 &                         53.2812 &          46.6719 \\
  67 &             0.2188 &                      30.5625 &                         53.2344 &          47.6406 \\
  68 &             0.2031 &                      30.6094 &                         53.0625 &          47.7812 \\
  69 &             0.2031 &                      31.7344 &                         53.2812 &          48.0312 \\
  70 &             0.2188 &                      32.1094 &                         53.2656 &          48.2969 \\
  71 &             0.2188 &                      32.4062 &                         53.0625 &          48.9062 \\
  72 &             0.2188 &                      32.7969 &                         52.9375 &          48.6875 \\
  73 &             0.2188 &                      33.7188 &                         53.1250 &          49.4219 \\
  74 &             0.2344 &                      34.6406 &                         53.4375 &          50.1719 \\
  75 &             0.2188 &                      35.4062 &                         53.3438 &          50.4844 \\
  76 &             0.2344 &                      35.8750 &                         53.5156 &          50.7031 \\
  77 &             0.2344 &                      36.2500 &                         53.3906 &          51.0469 \\
  78 &             0.2344 &                      37.2500 &                         53.5156 &          50.9062 \\
  79 &             0.2344 &                      37.5469 &                         53.1250 &          51.1094 \\
  80 &             0.2500 &                      37.6719 &                         53.7344 &          51.4219 \\
  81 &             0.2500 &                      38.8438 &                         53.1250 &          51.4688 \\
  82 &             0.2500 &                      39.0938 &                         53.3906 &          51.4375 \\
  83 &             0.2656 &                      40.3125 &                         53.0469 &          51.4844 \\
  84 &             0.2500 &                      40.6562 &                         53.6875 &          51.5469 \\
  85 &             0.2656 &                      41.6250 &                         53.3125 &          51.5000 \\
  86 &             0.2656 &                      42.1875 &                         53.3281 &          51.8594 \\
  87 &             0.2656 &                      43.3438 &                         53.5312 &          52.2656 \\
  88 &             0.2656 &                      43.6094 &                         53.3750 &          52.2031 \\
  89 &             0.2812 &                      44.3750 &                         53.4688 &          52.1250 \\
  90 &             0.2656 &                      44.9062 &                         53.0000 &          52.7031 \\
  91 &             0.2812 &                      46.0000 &                         53.0625 &          52.5000 \\
  92 &             0.2812 &                      47.3750 &                         53.2969 &          52.6094 \\
  93 &             0.2812 &                      48.6406 &                         53.4844 &          53.0781 \\
  94 &             0.2969 &                      48.9062 &                         53.6094 &          52.5156 \\
  95 &             0.2812 &                      49.4219 &                         53.3906 &          52.7969 \\
  96 &             0.2969 &                      50.3281 &                         53.1719 &          52.5938 \\
  97 &             0.2969 &                      51.1250 &                         53.3281 &          52.7500 \\
  98 &             0.2969 &                      51.2812 &                         53.4062 &          53.1875 \\
  99 &             0.2969 &                      52.4375 &                         53.4688 &          53.5625 \\
 100 &             0.2969 &                      53.5312 &                         53.3125 &          53.2969 \\
\bottomrule
\end{tabular}
